date,amount,balance
5/12/2019,-56.7,4517.6124
5/12/2019,-29.1354,4460.9124
5/12/2019,-6.3546,4431.777
5/12/2019,-9.2442,4425.4224
5/12/2019,-3.3852,4416.1782
5/12/2019,-947.961,4412.793
5/12/2019,-5.922,3464.832
5/12/2019,-6.93,3458.91
5/12/2019,-88.7292,3451.98
5/11/2019,-19.4208,3363.2508
5/10/2019,-4.2546,3343.83
5/9/2019,-2.2344,3339.5754
5/10/2019,-1.8732,3337.341
5/10/2019,-2.7972,3335.4678
5/10/2019,27.741,3332.6706
5/10/2019,-4.2378,3360.4116
5/9/2019,-5.25,3356.1738
5/10/2019,-63,3350.9238
5/10/2019,-17.2452,3287.9238
5/9/2019,-7.98,3270.6786
5/9/2019,-2.1252,3262.6986
5/9/2019,-0.924,3260.5734
5/9/2019,-69.3,3259.6494
5/8/2019,-26.103,3190.3494
5/8/2019,-1.2726,3164.2464
5/8/2019,-33.6798,3162.9738
5/9/2019,-0.4158,3129.294
5/8/2019,-1.827,3128.8782
5/8/2019,-2.1252,3127.0512
5/9/2019,23.1168,3124.926
5/7/2019,-2.2932,3148.0428
5/8/2019,-5.5524,3145.7496
5/7/2019,-2.1252,3140.1972
5/7/2019,-0.651,3138.072
5/7/2019,-0.924,3137.421
5/7/2019,-10.479,3136.497
5/7/2019,-63,3126.018
5/7/2019,-50.4,3063.018
5/7/2019,-3.15,3012.618
5/5/2019,-28.56,3009.468
5/6/2019,-1.5708,2980.908
5/6/2019,-2.772,2979.3372
5/6/2019,-0.924,2976.5652
5/6/2019,-3.78,4921.9212
5/6/2019,-46.2,4918.1412
5/6/2019,-15.12,4871.9412
5/5/2019,-23.1,4856.8212
5/6/2019,1946.28,2975.6412
5/4/2019,-1.1088,4833.7212
5/4/2019,-430.1766,4832.6124
5/4/2019,-9.6726,4402.4358
5/4/2019,-3.7254,4392.7632
5/4/2019,-6.048,4389.0378
5/4/2019,-4.2,4382.9898
5/3/2019,-12.6,4378.7898
5/3/2019,-1.785,4366.1898
5/3/2019,-2.31,4364.4048
5/1/2019,-132.9678,4362.0948
5/1/2019,-132.9678,4229.127
5/3/2019,-23.52,4096.1592
5/2/2019,-0.3654,4072.6392
5/2/2019,-0.4914,4072.2738
5/2/2019,-45.1038,4071.7824
5/3/2019,-4.62,4026.6786
5/2/2019,-2.1966,4022.0586
5/1/2019,-44.1,4019.862
5/1/2019,-10.5,3975.762
5/2/2019,-155.7738,3965.262
5/2/2019,-37.8588,3809.4882
5/2/2019,-3.696,3771.6294
5/1/2019,-1.8144,3767.9334
5/1/2019,-0.735,3766.119
5/3/2019,-92.4714,3765.384
5/2/2019,-11.5542,3672.9126
5/1/2019,-1.827,3661.3584
5/2/2019,-755.58,3659.5314
5/1/2019,-8.0472,2903.9514
5/1/2019,-29.589,2895.9042
5/1/2019,-33.6,2866.3152
4/30/2019,-2.2176,2832.7152
4/30/2019,-2.289,2830.4976
4/29/2019,-4.158,2828.2086
5/1/2019,-23.877,2824.0506
4/30/2019,-3.99,2800.1736
4/29/2019,-2.625,2796.1836
4/29/2019,-1.365,2793.5586
4/30/2019,2537.514,2792.1936
4/29/2019,-2764.8936,5329.7076
4/28/2019,-27.3,2564.814
4/28/2019,-9.3786,2537.514
4/28/2019,-9.1476,2528.1354
4/27/2019,-40.3284,2518.9878
4/28/2019,-9.8196,2478.6594
4/29/2019,-9.2442,2468.8398
4/29/2019,-7.392,2459.5956
4/27/2019,-44.1,2452.2036
4/26/2019,-8.3454,2408.1036
4/26/2019,-16.8,2399.7582
4/26/2019,-0.315,2382.9582
4/27/2019,-23.1168,2382.6432
4/25/2019,-37.8,2359.5264
4/25/2019,-3.2508,2321.7264
4/25/2019,-0.651,2318.4756
4/25/2019,-6.9258,2317.8246
4/25/2019,-27.3,2310.8988
4/25/2019,-5.6742,2283.5988
4/25/2019,-22.659,2277.9246
4/25/2019,-2.436,2255.2656
4/23/2019,-1.554,2252.8296
4/24/2019,-283.8276,2251.2756
4/23/2019,-10.7142,1967.448
4/23/2019,-12.495,1956.7338
4/24/2019,-1.5078,1944.2388
4/24/2019,-6.93,1942.731
4/24/2019,-4.326,1935.801
4/24/2019,-1.197,1931.475
4/22/2019,-3.234,1930.278
4/22/2019,-16.1826,1927.044
4/23/2019,-31.9368,1910.8614
4/23/2019,-7.245,1878.9246
4/21/2019,336,1871.6796
4/21/2019,-20.58,2207.6796
4/22/2019,-3.7674,2187.0996
4/21/2019,-7.8162,2183.3322
4/22/2019,-7.14,2175.516
4/22/2019,-1.2558,2168.376
4/22/2019,-3.57,2167.1202
4/21/2019,-10.542,2163.5502
4/21/2019,-7.8792,2153.0082
4/20/2019,-28.6314,2145.129
4/20/2019,-16.2036,2116.4976
4/21/2019,-1.4784,2100.294
4/21/2019,-1.995,2098.8156
4/19/2019,-3.192,2096.8206
4/21/2019,-4.326,2093.6286
4/19/2019,-5.7792,2089.3026
4/20/2019,-11.76,2083.5234
4/18/2019,-4.284,2071.7634
4/19/2019,-3.696,2067.4794
4/19/2019,-27.2832,2063.7834
4/18/2019,-3.6918,2036.5002
4/18/2019,-0.483,2032.8084
4/18/2019,-32.1132,2032.3254
4/17/2019,-40.32,2000.2122
4/17/2019,-2.3352,1959.8922
4/17/2019,-11.277,1957.557
4/15/2019,-2.3142,1957.557
4/16/2019,-336,1955.2428
4/15/2019,-1.5498,1619.2428
4/17/2019,-3.5448,1617.693
4/16/2019,-13.8726,1614.1482
4/15/2019,-24.2424,1600.2756
4/13/2019,-45.7548,1576.0332
4/15/2019,-35.7,1530.2784
4/15/2019,-32.3442,1483.3014
4/14/2019,-15.8718,1450.9572
4/15/2019,-3.801,1435.0854
4/13/2019,-46.62,1431.2844
4/14/2019,-117.6,1384.6644
4/12/2019,-24.4398,1267.0644
4/13/2019,-25.515,1242.6246
4/14/2019,-4.2,1217.1096
4/13/2019,-1.827,1212.9096
4/12/2019,-4.83,1211.0826
4/12/2019,-3.9732,1206.2526
4/12/2019,-1.4322,1202.2794
4/12/2019,-23.0958,1200.8472
4/12/2019,-11.5458,1177.7514
4/11/2019,-3.927,1166.2056
4/11/2019,-1.4322,1162.2786
4/11/2019,-4.6326,1160.8464
4/11/2019,-0.315,1156.2138
4/11/2019,-5.0484,1155.8988
4/11/2019,-205.8,1150.8504
4/10/2019,-2.4528,945.0504
4/10/2019,-1.7346,942.5976
4/10/2019,-3.927,940.863
4/10/2019,-0.483,936.936
4/10/2019,-0.315,936.453
4/11/2019,-3.5448,936.138
4/9/2019,-3.675,932.5932
4/9/2019,-2.2428,928.9182
4/8/2019,-17.0478,926.6754
4/10/2019,-27.7452,909.6276
4/9/2019,-0.4158,881.8824
4/9/2019,-4.62,881.4666
4/8/2019,-3.675,876.8466
4/8/2019,-1.4322,873.1716
4/8/2019,-9.6432,871.7394
4/8/2019,-4.7334,862.0962
4/8/2019,-20.4414,857.3628
4/7/2019,-44.1,836.9214
4/5/2019,-3.9648,792.8214
4/6/2019,-69.3,788.8566
4/6/2019,-24.927,719.5566
4/7/2019,-45.2886,694.6296
4/7/2019,-73.71,649.341
4/7/2019,-2.772,575.631
4/6/2019,-3.5616,572.859
4/5/2019,-3.927,569.2974
4/4/2019,-31.9452,565.3704
4/4/2019,-4.158,533.4252
4/6/2019,-1.6254,529.2672
4/5/2019,-0.315,527.6418
4/4/2019,-17.9676,527.3268
4/5/2019,-3.5448,509.3592
4/5/2019,-3.57,505.8144
4/4/2019,-3.0492,502.2444
4/2/2019,-1.827,499.1952
4/3/2019,-132.3,497.3682
4/2/2019,-5.8254,365.0682
4/1/2019,-2.079,359.2428
4/2/2019,-17.682,357.1638
4/2/2019,-12.5748,339.4818
4/2/2019,-6.3,326.907
4/1/2019,-40.7694,320.607
4/2/2019,-3.5028,279.8376
3/31/2019,-5.292,276.3348
3/31/2019,-17.8122,271.0428
4/1/2019,-3.3768,253.2306
3/30/2019,-33.8352,249.8538
3/29/2019,-7.392,216.0186
4/1/2019,-3.57,208.6266
3/30/2019,-102.9,205.0566
3/31/2019,-24.3348,102.1566
4/1/2019,-12.8646,77.8218
3/31/2019,1562.022,64.9572
3/28/2019,-12.747,1626.9792
3/29/2019,-3.8724,1614.2322
3/29/2019,-0.42,1610.3598
3/28/2019,-47.9178,1609.9398
3/27/2019,-37.8,1562.022
3/27/2019,-4.7796,1524.222
3/26/2019,-10.0926,1519.4424
3/24/2019,-26.439,1509.3498
3/26/2019,-1.0542,1482.9108
3/25/2019,-36.9852,1481.8566
3/25/2019,-0.315,1444.8714
3/25/2019,-2.7762,1444.5564
3/26/2019,-3.6456,1441.7802
3/25/2019,-22.659,1438.1346
3/6/2019,5.46,1481.8566
3/23/2019,-6.9258,1476.3966
3/22/2019,-5.1408,1469.4708
3/22/2019,-14.28,1464.33
3/24/2019,-75.6,1450.05
3/24/2019,-2.1756,1374.45
3/23/2019,-3.2466,1372.2744
3/24/2019,-1.8018,1369.0278
3/23/2019,-1.8018,1367.226
3/23/2019,-53.718,1365.4242
3/24/2019,-6.93,1311.7062
3/24/2019,-6.93,1304.7762
3/21/2019,-3.7968,1297.8462
3/22/2019,-10.5,1294.0494
3/21/2019,-5.7036,1283.5494
3/22/2019,-15.7332,1277.8458
3/22/2019,-4.1244,1262.1126
3/20/2019,-15.5526,1202.5272
3/21/2019,-4.1538,1186.9746
3/20/2019,-2.8644,1182.8208
3/19/2019,-9.2316,1179.9564
3/20/2019,-18.0348,1170.7248
3/19/2019,-2.4024,1152.69
3/19/2019,-1.4322,1150.2876
3/19/2019,-0.6552,1148.8554
3/18/2019,-16.1448,1148.2002
3/19/2019,-27.2832,1132.0554
3/15/2019,-76.2678,1104.7722
3/18/2019,-0.483,1028.5044
3/17/2019,-42,1028.0214
3/15/2019,-3.528,986.0214
3/15/2019,-3.276,982.4934
3/17/2019,-9.9204,979.2174
3/17/2019,-23.5704,969.297
3/17/2019,-23.6502,945.7266
3/16/2019,-65.6502,922.0764
3/16/2019,-6.006,856.4262
3/17/2019,-12.6,850.4202
3/15/2019,-2.6796,837.8202
3/15/2019,-4.1958,835.1406
3/15/2019,-3.8094,830.9448
3/14/2019,-54.6,827.1354
3/15/2019,-4.0194,772.5354
3/14/2019,-52.5,768.516
3/13/2019,-8.1858,716.016
3/15/2019,-75.6,707.8302
